Date,Thermal Generation Estimated (in MU),Thermal Generation Actual (in MU)
2017-09-01,2532.39,2777.91
2017-09-02,2563.37,2777.91
2017-09-03,2533.23,2777.77
2017-09-04,2714.28,2777.77
2017-09-05,2779.6499999999996,2790.85
2017-09-06,2831.1099999999997,2808.5299999999997
2017-09-07,2879.52,2818.06
2017-09-08,2905.2400000000002,2828.45
2017-09-09,2945.6499999999996,2834.33
2017-09-10,2952.33,2826.12
2017-09-11,2971.05,2829.37
2017-09-12,2987.1099999999997,2829.37
2017-09-13,3031.18,2834.15
2017-09-14,3000.4,2839.56
2017-09-15,3008.53,2866.5699999999997
2017-09-16,3004.39,2879.7799999999997
2017-09-17,2791.42,2870.9
2017-09-18,2773.72,2870.9
2017-09-19,2796.98,2870.9
2017-09-20,2786.04,2855.63
2017-09-21,2843.81,2867.83
2017-09-22,961.5,1072.53
2017-09-23,2713.27,2862.32
2017-09-24,2712.45,2866.75
2017-09-25,2806.27,2870.58
2017-09-26,2902.16,2873.18
2017-09-27,2926.6600000000003,2873.18
2017-09-28,2883.69,2877.0699999999997
2017-09-29,2785.33,2887.58
2017-09-30,2704.21,2887.58
2017-10-01,2668.37,2861.41
2017-10-03,2855.92,2861.41
2017-10-04,2891.6200000000003,2861.41
2017-10-05,2959.2799999999997,2856.93
2017-10-06,2957.22,2862.54
2017-10-07,2960.54,2862.54
2017-10-08,2843.5499999999997,2871.42
2017-10-09,2882.14,2875.9
2017-10-10,2908.13,2875.9
2017-10-11,2924.24,2891.9
2017-10-12,2939.6600000000003,2891.9
2017-10-13,2926.9300000000003,2891.9
2017-10-14,2896.1200000000003,2888.86
2017-10-15,2751.86,2899.42
2017-10-16,2805.88,2900.38
2017-10-17,2904.1,2903.42
2017-10-18,2835.87,2890.42
2017-10-19,2666.31,2902.9
2017-10-20,2563.03,2865.0800000000004
2017-10-21,2585.75,2854.03
2017-10-22,2593.89,2849.46
2017-10-23,2765.0299999999997,2857.77
2017-10-24,2903.2000000000003,2855.29
2017-10-25,2911.73,2865.16
2017-10-26,2882.93,2865.16
2017-10-27,2897.0099999999998,2867.2400000000002
2017-10-28,2895.9100000000003,2856.31
2017-10-29,2813.33,2856.31
2017-10-30,2832.14,2856.31
2017-10-31,2838.68,2863.31
2017-11-01,2823.63,2772.42
2017-11-02,2815.32,2772.42
2017-11-03,2813.0299999999997,2773.81
2017-11-04,2767.9900000000002,2773.81
2017-11-05,2714.7400000000002,2776.0
